,date,close
0,2015-02-02 09:15:00+05:30,528.1
1,2015-02-02 09:30:00+05:30,529.2
2,2015-02-02 09:45:00+05:30,529.5
3,2015-02-02 10:00:00+05:30,529.5
4,2015-02-02 10:15:00+05:30,529.65
5,2015-02-02 10:30:00+05:30,531.25
6,2015-02-02 10:45:00+05:30,531.55
7,2015-02-02 11:00:00+05:30,533.5
8,2015-02-02 11:15:00+05:30,533.85
9,2015-02-02 11:30:00+05:30,533.4
10,2015-02-02 11:45:00+05:30,530.05
11,2015-02-02 12:00:00+05:30,530.8
12,2015-02-02 12:15:00+05:30,531.5
13,2015-02-02 12:30:00+05:30,533.3
14,2015-02-02 12:45:00+05:30,534.5
15,2015-02-02 13:00:00+05:30,534.45
16,2015-02-02 13:15:00+05:30,537.55
17,2015-02-02 13:30:00+05:30,540.6
18,2015-02-02 13:45:00+05:30,542.25
19,2015-02-02 14:00:00+05:30,543.4
20,2015-02-02 14:15:00+05:30,541.95
21,2015-02-02 14:30:00+05:30,539.5
22,2015-02-02 14:45:00+05:30,541.4
23,2015-02-02 15:00:00+05:30,541.0
24,2015-02-02 15:15:00+05:30,540.5
25,2015-02-03 09:15:00+05:30,536.2
26,2015-02-03 09:30:00+05:30,536.45
27,2015-02-03 09:45:00+05:30,535.4
28,2015-02-03 10:00:00+05:30,536.85
29,2015-02-03 10:15:00+05:30,534.6
30,2015-02-03 10:30:00+05:30,534.2
31,2015-02-03 10:45:00+05:30,534.7
32,2015-02-03 11:00:00+05:30,537.45
33,2015-02-03 11:15:00+05:30,534.5
34,2015-02-03 11:30:00+05:30,532.9
35,2015-02-03 11:45:00+05:30,529.6
36,2015-02-03 12:00:00+05:30,531.1
37,2015-02-03 12:15:00+05:30,531.25
38,2015-02-03 12:30:00+05:30,531.9
39,2015-02-03 12:45:00+05:30,531.8
40,2015-02-03 13:00:00+05:30,530.5
41,2015-02-03 13:15:00+05:30,530.9
42,2015-02-03 13:30:00+05:30,529.7
43,2015-02-03 13:45:00+05:30,533.7
44,2015-02-03 14:00:00+05:30,533.55
45,2015-02-03 14:15:00+05:30,534.85
46,2015-02-03 14:30:00+05:30,533.9
47,2015-02-03 14:45:00+05:30,534.6
48,2015-02-03 15:00:00+05:30,532.75
49,2015-02-03 15:15:00+05:30,528.85
50,2015-02-04 09:15:00+05:30,532.5
51,2015-02-04 09:30:00+05:30,533.5
52,2015-02-04 09:45:00+05:30,534.5
53,2015-02-04 10:00:00+05:30,533.45
54,2015-02-04 10:15:00+05:30,530.2
55,2015-02-04 10:30:00+05:30,532.5
56,2015-02-04 10:45:00+05:30,533.7
57,2015-02-04 11:00:00+05:30,534.85
58,2015-02-04 11:15:00+05:30,537.5
59,2015-02-04 11:30:00+05:30,536.95
60,2015-02-04 11:45:00+05:30,537.5
61,2015-02-04 12:00:00+05:30,537.0
62,2015-02-04 12:15:00+05:30,537.25
63,2015-02-04 12:30:00+05:30,537.25
64,2015-02-04 12:45:00+05:30,537.35
65,2015-02-04 13:00:00+05:30,539.3
66,2015-02-04 13:15:00+05:30,537.9
67,2015-02-04 13:30:00+05:30,538.0
68,2015-02-04 13:45:00+05:30,538.5
69,2015-02-04 14:00:00+05:30,539.4
70,2015-02-04 14:15:00+05:30,539.0
71,2015-02-04 14:30:00+05:30,539.9
72,2015-02-04 14:45:00+05:30,536.9
73,2015-02-04 15:00:00+05:30,534.15
74,2015-02-04 15:15:00+05:30,530.8
75,2015-02-05 09:15:00+05:30,539.7
76,2015-02-05 09:30:00+05:30,538.1
77,2015-02-05 09:45:00+05:30,539.05
78,2015-02-05 10:00:00+05:30,541.5
79,2015-02-05 10:15:00+05:30,541.7
80,2015-02-05 10:30:00+05:30,539.7
81,2015-02-05 10:45:00+05:30,539.75
82,2015-02-05 11:00:00+05:30,540.0
83,2015-02-05 11:15:00+05:30,540.05
84,2015-02-05 11:30:00+05:30,539.05
85,2015-02-05 11:45:00+05:30,539.4
86,2015-02-05 12:00:00+05:30,539.55
87,2015-02-05 12:15:00+05:30,540.0
88,2015-02-05 12:30:00+05:30,539.65
89,2015-02-05 12:45:00+05:30,540.1
90,2015-02-05 13:00:00+05:30,541.05
91,2015-02-05 13:15:00+05:30,543.5
92,2015-02-05 13:30:00+05:30,543.15
93,2015-02-05 13:45:00+05:30,542.55
94,2015-02-05 14:00:00+05:30,545.05
95,2015-02-05 14:15:00+05:30,544.85
96,2015-02-05 14:30:00+05:30,543.0
97,2015-02-05 14:45:00+05:30,540.95
98,2015-02-05 15:00:00+05:30,538.7
99,2015-02-05 15:15:00+05:30,537.7
100,2015-02-06 09:15:00+05:30,533.6
101,2015-02-06 09:30:00+05:30,532.55
102,2015-02-06 09:45:00+05:30,534.0
103,2015-02-06 10:00:00+05:30,531.55
104,2015-02-06 10:15:00+05:30,531.25
105,2015-02-06 10:30:00+05:30,530.55
106,2015-02-06 10:45:00+05:30,529.65
107,2015-02-06 11:00:00+05:30,530.1
108,2015-02-06 11:15:00+05:30,529.5
109,2015-02-06 11:30:00+05:30,530.25
110,2015-02-06 11:45:00+05:30,531.8
111,2015-02-06 12:00:00+05:30,532.25
112,2015-02-06 12:15:00+05:30,533.55
113,2015-02-06 12:30:00+05:30,531.65
114,2015-02-06 12:45:00+05:30,531.45
115,2015-02-06 13:00:00+05:30,530.35
116,2015-02-06 13:15:00+05:30,530.45
117,2015-02-06 13:30:00+05:30,530.2
118,2015-02-06 13:45:00+05:30,530.85
119,2015-02-06 14:00:00+05:30,530.85
120,2015-02-06 14:15:00+05:30,529.0
121,2015-02-06 14:30:00+05:30,528.45
122,2015-02-06 14:45:00+05:30,528.25
123,2015-02-06 15:00:00+05:30,526.3
124,2015-02-06 15:15:00+05:30,525.15
125,2015-02-09 09:15:00+05:30,521.5
126,2015-02-09 09:30:00+05:30,521.0
127,2015-02-09 09:45:00+05:30,520.1
128,2015-02-09 10:00:00+05:30,518.8
129,2015-02-09 10:15:00+05:30,518.75
130,2015-02-09 10:30:00+05:30,519.0
131,2015-02-09 10:45:00+05:30,520.0
132,2015-02-09 11:00:00+05:30,519.7
133,2015-02-09 11:15:00+05:30,519.5
134,2015-02-09 11:30:00+05:30,521.15
135,2015-02-09 11:45:00+05:30,521.0
136,2015-02-09 12:00:00+05:30,519.5
137,2015-02-09 12:15:00+05:30,520.4
138,2015-02-09 12:30:00+05:30,520.15
139,2015-02-09 12:45:00+05:30,519.95
140,2015-02-09 13:00:00+05:30,520.15
141,2015-02-09 13:15:00+05:30,520.35
142,2015-02-09 13:30:00+05:30,521.25
143,2015-02-09 13:45:00+05:30,519.75
144,2015-02-09 14:00:00+05:30,520.55
145,2015-02-09 14:15:00+05:30,520.45
146,2015-02-09 14:30:00+05:30,517.5
147,2015-02-09 14:45:00+05:30,519.1
148,2015-02-09 15:00:00+05:30,520.6
149,2015-02-09 15:15:00+05:30,518.5
150,2015-02-10 09:15:00+05:30,521.95
151,2015-02-10 09:30:00+05:30,525.0
152,2015-02-10 09:45:00+05:30,526.2
153,2015-02-10 10:00:00+05:30,526.05
154,2015-02-10 10:15:00+05:30,527.9
155,2015-02-10 10:30:00+05:30,526.75
156,2015-02-10 10:45:00+05:30,525.85
157,2015-02-10 11:00:00+05:30,525.25
158,2015-02-10 11:15:00+05:30,528.95
159,2015-02-10 11:30:00+05:30,529.95
160,2015-02-10 11:45:00+05:30,530.4
161,2015-02-10 12:00:00+05:30,527.75
162,2015-02-10 12:15:00+05:30,526.6
163,2015-02-10 12:30:00+05:30,526.2
164,2015-02-10 12:45:00+05:30,525.75
165,2015-02-10 13:00:00+05:30,524.5
166,2015-02-10 13:15:00+05:30,524.0
167,2015-02-10 13:30:00+05:30,522.15
168,2015-02-10 13:45:00+05:30,524.0
169,2015-02-10 14:00:00+05:30,521.65
170,2015-02-10 14:15:00+05:30,521.0
171,2015-02-10 14:30:00+05:30,524.5
172,2015-02-10 14:45:00+05:30,526.8
173,2015-02-10 15:00:00+05:30,526.55
174,2015-02-10 15:15:00+05:30,527.35
175,2015-02-11 09:15:00+05:30,528.95
176,2015-02-11 09:30:00+05:30,528.9
177,2015-02-11 09:45:00+05:30,529.75
178,2015-02-11 10:00:00+05:30,528.35
179,2015-02-11 10:15:00+05:30,529.7
180,2015-02-11 10:30:00+05:30,528.65
181,2015-02-11 10:45:00+05:30,527.35
182,2015-02-11 11:00:00+05:30,529.0
183,2015-02-11 11:15:00+05:30,527.75
184,2015-02-11 11:30:00+05:30,528.85
185,2015-02-11 11:45:00+05:30,529.2
186,2015-02-11 12:00:00+05:30,529.75
187,2015-02-11 12:15:00+05:30,531.0
